pixelID,geometry
tile_0_11_-298095345315,"c(-298095, 345315)"
tile_0_12_-281355378315,"c(-281355, 378315)"
tile_0_12_-281355382095,"c(-281355, 382095)"
tile_0_12_-281355397755,"c(-281355, 397755)"
tile_0_12_-281355403155,"c(-281355, 403155)"
tile_0_12_-281355404505,"c(-281355, 404505)"
tile_0_12_-281355405585,"c(-281355, 405585)"
tile_0_12_-281625395865,"c(-281625, 395865)"
tile_0_12_-281895400725,"c(-281895, 400725)"
tile_0_12_-294045419355,"c(-294045, 419355)"
tile_0_12_-294045422055,"c(-294045, 422055)"
tile_0_12_-294585420435,"c(-294585, 420435)"
tile_0_12_-294855425025,"c(-294855, 425025)"
tile_0_12_-295665423675,"c(-295665, 423675)"
tile_0_12_-295935417195,"c(-295935, 417195)"
tile_0_12_-295935425025,"c(-295935, 425025)"
tile_0_12_-296205418815,"c(-296205, 418815)"
tile_0_12_-296475419895,"c(-296475, 419895)"
tile_0_12_-297015421245,"c(-297015, 421245)"
tile_0_12_-297285424215,"c(-297285, 424215)"
tile_0_12_-303495411525,"c(-303495, 411525)"
tile_0_12_-303765412605,"c(-303765, 412605)"
tile_0_12_-304035413685,"c(-304035, 413685)"
tile_0_12_-304575411525,"c(-304575, 411525)"
tile_1_11_-234315346935,"c(-234315, 346935)"
tile_1_11_-234855349095,"c(-234855, 349095)"
tile_1_11_-259425335595,"c(-259425, 335595)"
tile_1_11_-259425336945,"c(-259425, 336945)"
tile_1_11_-260235334245,"c(-260235, 334245)"
tile_1_11_-260505335325,"c(-260505, 335325)"
tile_1_11_-260775336405,"c(-260775, 336405)"
tile_1_11_-261585333975,"c(-261585, 333975)"
tile_1_11_-261585340455,"c(-261585, 340455)"
tile_1_11_-261855335325,"c(-261855, 335325)"
tile_1_11_-262125343695,"c(-262125, 343695)"
tile_1_11_-262665341535,"c(-262665, 341535)"
tile_1_11_-262935334245,"c(-262935, 334245)"
tile_1_11_-263205343155,"c(-263205, 343155)"
tile_1_11_-263475344235,"c(-263475, 344235)"
tile_1_11_-263745335055,"c(-263745, 335055)"
tile_1_11_-263745341535,"c(-263745, 341535)"
tile_1_11_-264015332625,"c(-264015, 332625)"
tile_1_11_-264285342885,"c(-264285, 342885)"
tile_1_11_-264555333705,"c(-264555, 333705)"
tile_1_11_-264555340455,"c(-264555, 340455)"
tile_1_11_-264555343965,"c(-264555, 343965)"
tile_1_11_-264825341535,"c(-264825, 341535)"
tile_1_11_-265635340725,"c(-265635, 340725)"
tile_1_11_-265635343425,"c(-265635, 343425)"
tile_1_11_-265635345855,"c(-265635, 345855)"
tile_1_11_-265905339375,"c(-265905, 339375)"
tile_1_11_-265905341805,"c(-265905, 341805)"
tile_1_11_-265905344505,"c(-265905, 344505)"
tile_1_11_-266715340995,"c(-266715, 340995)"
tile_1_11_-266715342615,"c(-266715, 342615)"
tile_1_11_-266715343695,"c(-266715, 343695)"
tile_1_11_-266715345315,"c(-266715, 345315)"
tile_1_11_-266985339915,"c(-266985, 339915)"
tile_1_11_-267255346395,"c(-267255, 346395)"
tile_1_11_-267255347475,"c(-267255, 347475)"
tile_1_11_-267795340725,"c(-267795, 340725)"
tile_1_11_-267795341805,"c(-267795, 341805)"
tile_1_11_-267795342885,"c(-267795, 342885)"
tile_1_11_-267795343965,"c(-267795, 343965)"
tile_1_11_-268065345045,"c(-268065, 345045)"
tile_1_11_-268335339375,"c(-268335, 339375)"
tile_1_11_-268605347205,"c(-268605, 347205)"
tile_1_11_-269415345855,"c(-269415, 345855)"
tile_1_11_-269685352605,"c(-269685, 352605)"
tile_1_11_-269955351525,"c(-269955, 351525)"
tile_1_11_-270225316425,"c(-270225, 316425)"
tile_1_11_-270225348285,"c(-270225, 348285)"
tile_1_11_-270225350445,"c(-270225, 350445)"
tile_1_11_-270765313455,"c(-270765, 313455)"
tile_1_11_-270765315075,"c(-270765, 315075)"
tile_1_11_-271035351525,"c(-271035, 351525)"
tile_1_11_-271305316155,"c(-271305, 316155)"
tile_1_11_-271845315075,"c(-271845, 315075)"
tile_1_11_-272385313995,"c(-272385, 313995)"
tile_1_11_-274275345045,"c(-274275, 345045)"
tile_1_11_-274815346125,"c(-274815, 346125)"
