,pixelID
975,tile_0_11_-285945345855
976,tile_0_11_-285945346125
977,tile_0_11_-285945346395
978,tile_0_11_-285945346665
979,tile_0_11_-285945346935
980,tile_0_11_-285945347205
981,tile_0_11_-285945347475
982,tile_0_11_-285945348825
983,tile_0_11_-285945349365
984,tile_0_11_-285945349905
985,tile_0_11_-285945350175
986,tile_0_11_-285945350445
987,tile_0_11_-285945351525
988,tile_0_11_-285945351795
989,tile_0_11_-285945352065
990,tile_0_11_-285945352335
991,tile_0_11_-285945352605
992,tile_0_11_-285945352875
993,tile_0_11_-285945353145
994,tile_0_11_-285945353415
995,tile_0_11_-285945353685
996,tile_0_11_-286215321555
997,tile_0_11_-286215322365
998,tile_0_11_-286215336675
999,tile_0_11_-286215337485
1000,tile_0_11_-286215340185
1001,tile_0_11_-286215340455
1002,tile_0_11_-286215340725
1003,tile_0_11_-286215340995
1004,tile_0_11_-286215341535
1005,tile_0_11_-286215342345
1006,tile_0_11_-286215342885
1007,tile_0_11_-286215343425
1008,tile_0_11_-286215343695
1009,tile_0_11_-286215343965
1010,tile_0_11_-286215344235
1011,tile_0_11_-286215344505
1012,tile_0_11_-286215345045
1013,tile_0_11_-286215345585
1014,tile_0_11_-286215345855
1015,tile_0_11_-286215346125
1016,tile_0_11_-286215346395
1017,tile_0_11_-286215346665
1018,tile_0_11_-286215346935
1019,tile_0_11_-286215347205
1020,tile_0_11_-286215347475
1021,tile_0_11_-286215349905
1022,tile_0_11_-286215350175
1023,tile_0_11_-286215350445
1024,tile_0_11_-286215351255
1025,tile_0_11_-286215351525
1026,tile_0_11_-286215351795
1027,tile_0_11_-286215352065
1028,tile_0_11_-286215352335
1029,tile_0_11_-286215352605
1030,tile_0_11_-286215353145
1031,tile_0_11_-286215353415
1032,tile_0_11_-286215353685
1033,tile_0_11_-286215353955
1034,tile_0_11_-286215354225
1035,tile_0_11_-286215354495
1036,tile_0_11_-286215354765
1037,tile_0_11_-286485326955
1038,tile_0_11_-286485327225
1039,tile_0_11_-286485335055
1040,tile_0_11_-286485335865
1041,tile_0_11_-286485336135
1042,tile_0_11_-286485336405
1043,tile_0_11_-286485336675
1044,tile_0_11_-286485336945
1045,tile_0_11_-286485340185
1046,tile_0_11_-286485340455
1047,tile_0_11_-286485340725
1048,tile_0_11_-286485341535
1049,tile_0_11_-286485341805
1050,tile_0_11_-286485342345
1051,tile_0_11_-286485342615
1052,tile_0_11_-286485342885
1053,tile_0_11_-286485343155
1054,tile_0_11_-286485343425
1055,tile_0_11_-286485343695
1056,tile_0_11_-286485343965
1057,tile_0_11_-286485344235
1058,tile_0_11_-286485344505
1059,tile_0_11_-286485344775
1060,tile_0_11_-286485345045
1061,tile_0_11_-286485345585
1062,tile_0_11_-286485346125
1063,tile_0_11_-286485346395
1064,tile_0_11_-286485346665
1065,tile_0_11_-286485346935
1066,tile_0_11_-286485347205
1067,tile_0_11_-286485347475
1068,tile_0_11_-286485348015
1069,tile_0_11_-286485348555
1070,tile_0_11_-286485348825
1071,tile_0_11_-286485349095
1072,tile_0_11_-286485349365
1073,tile_0_11_-286485349635
1074,tile_0_11_-286485350445
1075,tile_0_11_-286485351255
1076,tile_0_11_-286485351525
1077,tile_0_11_-286485351795
1078,tile_0_11_-286485352065
1079,tile_0_11_-286485352875
1080,tile_0_11_-286485353145
1081,tile_0_11_-286485353415
1082,tile_0_11_-286485353685
1083,tile_0_11_-286485354225
1084,tile_0_11_-286755324255
1085,tile_0_11_-286755324525
1086,tile_0_11_-286755335055
1087,tile_0_11_-286755336135
1088,tile_0_11_-286755336405
1089,tile_0_11_-286755336675
1090,tile_0_11_-286755336945
1093,tile_0_11_-286755338835
1095,tile_0_11_-286755340725
1096,tile_0_11_-286755340995
1097,tile_0_11_-286755341265
1098,tile_0_11_-286755341535
1099,tile_0_11_-286755341805
1100,tile_0_11_-286755342075
1101,tile_0_11_-286755342345
1102,tile_0_11_-286755342615
1103,tile_0_11_-286755343155
1104,tile_0_11_-286755343425
1105,tile_0_11_-286755343695
1106,tile_0_11_-286755343965
1107,tile_0_11_-286755344505
1108,tile_0_11_-286755344775
1109,tile_0_11_-286755345045
1110,tile_0_11_-286755345315
1111,tile_0_11_-286755345585
1112,tile_0_11_-286755345855
1113,tile_0_11_-286755346125
1114,tile_0_11_-286755346395
1115,tile_0_11_-286755346935
1116,tile_0_11_-286755347205
1117,tile_0_11_-286755347475
1118,tile_0_11_-286755348015
1119,tile_0_11_-286755348285
1120,tile_0_11_-286755348555
1121,tile_0_11_-286755348825
1122,tile_0_11_-286755349095
1123,tile_0_11_-286755349365
1124,tile_0_11_-286755349635
1125,tile_0_11_-286755350985
1126,tile_0_11_-286755351255
1127,tile_0_11_-286755351525
1128,tile_0_11_-286755351795
1129,tile_0_11_-286755352065
1130,tile_0_11_-286755352335
1131,tile_0_11_-286755352605
1132,tile_0_11_-286755352875
1133,tile_0_11_-286755353145
1134,tile_0_11_-286755353415
1135,tile_0_11_-286755353685
1136,tile_0_11_-286755353955
1138,tile_0_11_-287025330195
1139,tile_0_11_-287025332085
1140,tile_0_11_-287025333975
1141,tile_0_11_-287025337215
1142,tile_0_11_-287025337485
1147,tile_0_11_-287025340725
1148,tile_0_11_-287025340995
1149,tile_0_11_-287025341265
1150,tile_0_11_-287025341535
1151,tile_0_11_-287025341805
1152,tile_0_11_-287025342075
1153,tile_0_11_-287025342345
1154,tile_0_11_-287025342615
1155,tile_0_11_-287025343155
1156,tile_0_11_-287025343425
1157,tile_0_11_-287025343695
1158,tile_0_11_-287025344235
1159,tile_0_11_-287025344505
1160,tile_0_11_-287025344775
1161,tile_0_11_-287025345045
1162,tile_0_11_-287025345315
1163,tile_0_11_-287025345585
