pixelID,geometry
tile_3_9_-103785220995,"c(-103785, 220995)"
tile_3_9_-104865219915,"c(-104865, 219915)"
tile_3_9_-105675221265,"c(-105675, 221265)"
tile_3_9_-105945218835,"c(-105945, 218835)"
tile_3_9_-107295219645,"c(-107295, 219645)"
tile_3_9_-108645218835,"c(-108645, 218835)"
tile_5_11_-15375354225,"c(-15375, 354225)"
tile_5_11_-16455355305,"c(-16455, 355305)"
tile_5_11_-16995356925,"c(-16995, 356925)"
tile_5_11_-17805354495,"c(-17805, 354495)"
tile_5_11_-18075358005,"c(-18075, 358005)"
tile_5_11_-18345356115,"c(-18345, 356115)"
tile_5_11_-19425359355,"c(-19425, 359355)"
tile_5_11_-19965355845,"c(-19965, 355845)"
tile_5_11_-20775357195,"c(-20775, 357195)"
tile_5_5_105453405,"c(10545, 3405)"
tile_5_5_89252325,"c(8925, 2325)"
tile_5_6_-1429555035,"c(-14295, 55035)"
tile_5_6_-1591554765,"c(-15915, 54765)"
tile_5_6_-1753554765,"c(-17535, 54765)"
tile_5_6_730546125,"c(7305, 46125)"
tile_5_6_838547205,"c(8385, 47205)"
tile_7_2_130275-184425,"c(130275, -184425)"
tile_7_2_132435-184695,"c(132435, -184695)"
tile_7_3_101385-124695,"c(101385, -124695)"
tile_7_3_103275-123885,"c(103275, -123885)"
tile_7_3_103275-125505,"c(103275, -125505)"
tile_7_3_106245-129015,"c(106245, -129015)"
tile_7_3_111915-129015,"c(111915, -129015)"
tile_7_3_112725-130365,"c(112725, -130365)"
tile_7_3_113805-129285,"c(113805, -129285)"
tile_7_3_115155-130095,"c(115155, -130095)"
tile_7_3_98415-126585,"c(98415, -126585)"
tile_7_5_81135-45735,"c(81135, -45735)"
tile_8_2_141135-187125,"c(141135, -187125)"
tile_8_2_141945-185775,"c(141945, -185775)"
tile_8_2_142485-189285,"c(142485, -189285)"
tile_8_2_144375-196305,"c(144375, -196305)"
tile_8_2_144915-197925,"c(144915, -197925)"
tile_8_2_149775-194415,"c(149775, -194415)"
tile_8_2_149775-200355,"c(149775, -200355)"
tile_8_2_150585-197385,"c(150585, -197385)"
tile_8_2_151665-195765,"c(151665, -195765)"
tile_8_2_152205-198465,"c(152205, -198465)"
tile_8_2_153015-194415,"c(153015, -194415)"
tile_8_2_153555-199275,"c(153555, -199275)"
tile_8_2_154905-195765,"c(154905, -195765)"
